sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,sleepTotalTimeStampGMT
2022-11-26 08:58:00,2022-11-26 15:09:00,2022-11-26,ENHANCED_CONFIRMED,4320.0,12840.0,5100.0,0.0,0.0,False,06:11:00
2022-11-27 06:23:00,2022-11-27 14:25:00,2022-11-27,ENHANCED_CONFIRMED,2220.0,17580.0,9120.0,0.0,0.0,False,08:02:00
2022-11-28 05:17:00,2022-11-28 14:16:00,2022-11-28,ENHANCED_CONFIRMED,3720.0,19380.0,8400.0,840.0,0.0,False,08:59:00
2022-11-29 06:14:00,2022-11-29 13:54:00,2022-11-29,ENHANCED_CONFIRMED,3540.0,17340.0,5520.0,1200.0,0.0,False,07:40:00
2022-11-30 04:58:00,2022-11-30 13:29:00,2022-11-30,ENHANCED_CONFIRMED,2040.0,20160.0,7440.0,1020.0,0.0,False,08:31:00
2022-12-01 07:01:00,2022-12-01 13:04:00,2022-12-01,ENHANCED_CONFIRMED,3480.0,12480.0,5760.0,60.0,0.0,False,06:03:00
2022-12-02 08:15:00,2022-12-02 12:56:00,2022-12-02,ENHANCED_CONFIRMED,4680.0,8940.0,3180.0,60.0,0.0,False,04:41:00
2022-12-03 04:46:00,2022-12-03 11:04:00,2022-12-03,ENHANCED_CONFIRMED,2340.0,15000.0,5280.0,60.0,0.0,False,06:18:00
2022-12-04 05:43:00,2022-12-04 13:23:00,2022-12-04,ENHANCED_CONFIRMED,5820.0,14700.0,6420.0,660.0,0.0,False,07:40:00
2022-12-05 05:33:00,2022-12-05 13:20:00,2022-12-05,ENHANCED_CONFIRMED,3720.0,13980.0,10260.0,60.0,0.0,False,07:47:00
2022-12-06 06:11:00,2022-12-06 13:05:00,2022-12-06,ENHANCED_CONFIRMED,5340.0,12780.0,6660.0,60.0,0.0,False,06:54:00
2022-12-07 06:41:00,2022-12-07 13:38:00,2022-12-07,ENHANCED_CONFIRMED,4740.0,14400.0,5880.0,0.0,0.0,False,06:57:00
2022-12-08 05:25:00,2022-12-08 15:38:00,2022-12-08,ENHANCED_CONFIRMED,960.0,24780.0,10200.0,840.0,0.0,False,10:13:00
2022-12-09 06:00:00,2022-12-09 12:57:00,2022-12-09,ENHANCED_CONFIRMED,4920.0,14340.0,5340.0,420.0,0.0,False,06:57:00
2022-12-10 08:51:00,2022-12-10 16:37:00,2022-12-10,ENHANCED_CONFIRMED,7320.0,13740.0,6480.0,420.0,0.0,False,07:46:00
2022-12-11 06:34:00,2022-12-11 11:51:00,2022-12-11,ENHANCED_CONFIRMED,4080.0,10320.0,3960.0,660.0,0.0,False,05:17:00
2022-12-12 05:30:00,2022-12-12 12:36:00,2022-12-12,ENHANCED_CONFIRMED,4860.0,12960.0,7680.0,60.0,0.0,False,07:06:00
2022-12-13 06:12:00,2022-12-13 13:29:00,2022-12-13,ENHANCED_CONFIRMED,3600.0,12660.0,9960.0,0.0,0.0,False,07:17:00
2022-12-14 07:48:00,2022-12-14 11:18:00,2022-12-14,ENHANCED_CONFIRMED_FINAL,6780.0,3720.0,2040.0,60.0,0.0,False,03:30:00
2022-12-15 04:31:00,2022-12-15 13:55:00,2022-12-15,ENHANCED_CONFIRMED,6000.0,18480.0,8700.0,660.0,0.0,False,09:24:00
2022-12-16 06:17:00,2022-12-16 14:06:00,2022-12-16,ENHANCED_CONFIRMED,4920.0,13980.0,8760.0,480.0,0.0,False,07:49:00
2022-12-17 04:22:00,2022-12-17 13:18:00,2022-12-17,ENHANCED_CONFIRMED_FINAL,4740.0,18120.0,8940.0,360.0,0.0,False,08:56:00
2022-12-18 04:39:00,2022-12-18 14:31:00,2022-12-18,ENHANCED_CONFIRMED,3420.0,21060.0,10680.0,360.0,0.0,False,09:52:00
2022-12-19 05:51:00,2022-12-19 14:40:00,2022-12-19,ENHANCED_CONFIRMED,4260.0,18300.0,9180.0,0.0,0.0,False,08:49:00
2022-12-20 07:27:00,2022-12-20 13:53:00,2022-12-20,ENHANCED_CONFIRMED_FINAL,6720.0,12240.0,4200.0,0.0,0.0,False,06:26:00
2022-12-21 05:53:00,2022-12-21 15:23:00,2022-12-21,ENHANCED_CONFIRMED_FINAL,3420.0,20520.0,8880.0,1380.0,0.0,False,09:30:00
2022-12-23 05:36:00,2022-12-23 15:19:00,2022-12-23,ENHANCED_CONFIRMED,4500.0,21060.0,9360.0,60.0,0.0,False,09:43:00
2022-12-24 07:43:00,2022-12-24 14:44:00,2022-12-24,ENHANCED_CONFIRMED_FINAL,4500.0,12540.0,7800.0,420.0,0.0,False,07:01:00
2022-12-25 05:24:00,2022-12-25 13:50:00,2022-12-25,ENHANCED_CONFIRMED_FINAL,720.0,17460.0,11640.0,540.0,0.0,False,08:26:00
2022-12-26 06:43:00,2022-12-26 13:24:00,2022-12-26,ENHANCED_CONFIRMED,4620.0,12480.0,6960.0,0.0,0.0,False,06:41:00
2022-12-27 05:43:00,2022-12-27 14:17:00,2022-12-27,ENHANCED_CONFIRMED_FINAL,4260.0,17520.0,8460.0,600.0,0.0,False,08:34:00
2022-12-28 05:02:00,2022-12-28 15:06:00,2022-12-28,ENHANCED_CONFIRMED_FINAL,3600.0,24600.0,7920.0,120.0,0.0,False,10:04:00
2022-12-29 05:40:00,2022-12-29 14:13:00,2022-12-29,ENHANCED_CONFIRMED,3060.0,19500.0,7560.0,660.0,0.0,False,08:33:00
2022-12-30 05:19:00,2022-12-30 13:11:00,2022-12-30,ENHANCED_CONFIRMED_FINAL,4440.0,17760.0,5760.0,360.0,0.0,False,07:52:00
2022-12-31 07:16:00,2022-12-31 14:15:00,2022-12-31,ENHANCED_CONFIRMED_FINAL,6240.0,11220.0,6780.0,900.0,0.0,False,06:59:00
2023-01-01 08:25:00,2023-01-01 14:11:00,2023-01-01,ENHANCED_CONFIRMED_FINAL,8580.0,8400.0,3480.0,300.0,0.0,False,05:46:00
2023-01-02 05:31:00,2023-01-02 15:00:00,2023-01-02,ENHANCED_CONFIRMED_FINAL,7020.0,16740.0,10260.0,120.0,0.0,False,09:29:00
2023-01-03 06:07:00,2023-01-03 13:10:00,2023-01-03,ENHANCED_CONFIRMED_FINAL,4920.0,15900.0,4320.0,240.0,0.0,False,07:03:00
2023-01-04 06:58:00,2023-01-04 16:00:00,2023-01-04,ENHANCED_CONFIRMED,3180.0,17760.0,11460.0,120.0,0.0,False,09:02:00
2023-01-05 06:29:00,2023-01-05 15:35:00,2023-01-05,ENHANCED_CONFIRMED,6240.0,18180.0,7500.0,840.0,0.0,False,09:06:00
2023-01-06 06:34:00,2023-01-06 14:12:00,2023-01-06,ENHANCED_CONFIRMED_FINAL,4380.0,17580.0,5280.0,240.0,0.0,False,07:38:00
2023-01-07 08:32:00,2023-01-07 17:06:00,2023-01-07,ENHANCED_CONFIRMED,2700.0,20580.0,7020.0,540.0,0.0,False,08:34:00
2023-01-08 04:47:00,2023-01-08 13:20:00,2023-01-08,ENHANCED_CONFIRMED,1860.0,20220.0,7260.0,1440.0,0.0,False,08:33:00
